"Run","Window","Window Begin","Window End","Generations","Minutes","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
"Sliding window",0,"2018-05-08T09:34:40","2018-05-11T09:34:42",750,7.44352476875,97453,24698,72755,32561,8520,24041,0.695960772536613,0.693468450189407,27,35
"Sliding window",1,"2018-05-09T09:35:33","2018-05-12T09:34:41",1500,20.70498735625,99064,26332,72732,33030,9426,23604,0.696346014559968,0.721361608811462,47,68
"Sliding window",2,"2018-05-10T09:34:43","2018-05-13T09:35:14",2250,43.7480973114583,97899,26110,71789,32787,8742,24045,0.712917545361681,0.720275196711354,66,102
"Sliding window",3,"2018-05-11T09:34:42","2018-05-14T09:34:48",3000,79.5561918083333,98379,26689,71690,33553,9524,24029,0.717227449865912,0.751902451566381,85,142
